wall_time_sec,label,timestamp,gpu_util_pct,memory_used_mb,memory_total_mb,power_draw_w
0.028,batched_medium,2026/07/08 01:54:05.973,0,2670,40960,49.57
0.558,batched_medium,2026/07/08 01:54:06.502,28,2670,40960,60.64
1.087,batched_medium,2026/07/08 01:54:07.032,28,2670,40960,61.18
1.616,batched_medium,2026/07/08 01:54:07.561,28,2670,40960,61.18
2.145,batched_medium,2026/07/08 01:54:08.090,28,2672,40960,59.71
2.675,batched_medium,2026/07/08 01:54:08.619,28,2674,40960,59.44
3.203,batched_medium,2026/07/08 01:54:09.149,28,2676,40960,59.71
3.733,batched_medium,2026/07/08 01:54:09.678,28,2676,40960,61.78
4.262,batched_medium,2026/07/08 01:54:10.207,28,2676,40960,59.44
4.791,batched_medium,2026/07/08 01:54:10.736,27,2676,40960,59.71
5.32,batched_medium,2026/07/08 01:54:11.265,28,2676,40960,60.04
5.849,batched_medium,2026/07/08 01:54:11.794,26,2676,40960,60.04
6.378,batched_medium,2026/07/08 01:54:12.323,27,2676,40960,59.71
6.907,batched_medium,2026/07/08 01:54:12.852,26,2676,40960,59.51
7.435,batched_medium,2026/07/08 01:54:13.380,28,2676,40960,59.71
7.964,batched_medium,2026/07/08 01:54:13.909,27,2676,40960,58.84
8.494,batched_medium,2026/07/08 01:54:14.438,28,2676,40960,58.84
9.022,batched_medium,2026/07/08 01:54:14.968,28,2676,40960,59.71
9.553,batched_medium,2026/07/08 01:54:15.496,28,2676,40960,59.17
10.083,batched_medium,2026/07/08 01:54:16.027,26,2676,40960,58.90
10.612,batched_medium,2026/07/08 01:54:16.557,27,2676,40960,58.84
11.142,batched_medium,2026/07/08 01:54:17.086,28,2676,40960,59.44
11.674,batched_medium,2026/07/08 01:54:17.618,27,2676,40960,54.83
12.203,batched_medium,2026/07/08 01:54:18.148,28,2676,40960,59.44
12.733,batched_medium,2026/07/08 01:54:18.677,29,2676,40960,60.38
13.263,batched_medium,2026/07/08 01:54:19.207,29,2676,40960,60.04
13.792,batched_medium,2026/07/08 01:54:19.737,22,2676,40960,60.31
14.322,batched_medium,2026/07/08 01:54:20.266,28,2676,40960,60.91
14.85,batched_medium,2026/07/08 01:54:20.795,28,2676,40960,60.64
15.38,batched_medium,2026/07/08 01:54:21.325,27,2676,40960,58.36
15.909,batched_medium,2026/07/08 01:54:21.854,26,2676,40960,58.57
16.438,batched_medium,2026/07/08 01:54:22.383,28,2676,40960,59.17
16.968,batched_medium,2026/07/08 01:54:22.912,27,2676,40960,58.84
17.497,batched_medium,2026/07/08 01:54:23.442,28,2676,40960,59.71
18.027,batched_medium,2026/07/08 01:54:23.972,28,2676,40960,58.84
18.556,batched_medium,2026/07/08 01:54:24.501,28,2676,40960,59.71
19.086,batched_medium,2026/07/08 01:54:25.030,28,2676,40960,59.24
19.614,batched_medium,2026/07/08 01:54:25.559,28,2676,40960,58.30
20.144,batched_medium,2026/07/08 01:54:26.089,27,2676,40960,59.24
20.674,batched_medium,2026/07/08 01:54:26.618,27,2676,40960,59.17
21.203,batched_medium,2026/07/08 01:54:27.148,27,2676,40960,59.51
21.733,batched_medium,2026/07/08 01:54:27.678,27,2676,40960,59.17
22.262,batched_medium,2026/07/08 01:54:28.207,28,2676,40960,59.17
22.792,batched_medium,2026/07/08 01:54:28.736,28,2676,40960,58.57
23.321,batched_medium,2026/07/08 01:54:29.266,29,2676,40960,59.78
23.852,batched_medium,2026/07/08 01:54:29.795,26,2676,40960,59.78
24.381,batched_medium,2026/07/08 01:54:30.326,28,2676,40960,59.17
24.91,batched_medium,2026/07/08 01:54:30.855,28,2676,40960,59.71
25.44,batched_medium,2026/07/08 01:54:31.384,28,2676,40960,59.17
25.97,batched_medium,2026/07/08 01:54:31.915,28,2676,40960,59.71
26.499,batched_medium,2026/07/08 01:54:32.444,28,2676,40960,59.17
27.028,batched_medium,2026/07/08 01:54:32.973,27,2676,40960,60.64
27.558,batched_medium,2026/07/08 01:54:33.502,25,2676,40960,59.71
28.087,batched_medium,2026/07/08 01:54:34.032,28,2676,40960,60.64
28.617,batched_medium,2026/07/08 01:54:34.561,28,2676,40960,60.04
29.146,batched_medium,2026/07/08 01:54:35.091,28,2676,40960,59.71
29.676,batched_medium,2026/07/08 01:54:35.620,25,2676,40960,60.04
30.206,batched_medium,2026/07/08 01:54:36.149,26,2676,40960,60.91
30.735,batched_medium,2026/07/08 01:54:36.680,28,2676,40960,62.05
31.264,batched_medium,2026/07/08 01:54:37.209,26,2676,40960,58.90
31.794,batched_medium,2026/07/08 01:54:37.738,27,2676,40960,58.84
32.323,batched_medium,2026/07/08 01:54:38.268,28,2676,40960,59.17
32.852,batched_medium,2026/07/08 01:54:38.797,29,2676,40960,59.24
33.383,batched_medium,2026/07/08 01:54:39.326,27,2676,40960,58.30
33.912,batched_medium,2026/07/08 01:54:39.857,28,2676,40960,59.44
34.441,batched_medium,2026/07/08 01:54:40.385,27,2676,40960,59.71
34.971,batched_medium,2026/07/08 01:54:40.915,27,2676,40960,59.44
35.5,batched_medium,2026/07/08 01:54:41.445,27,2676,40960,59.78
36.029,batched_medium,2026/07/08 01:54:41.974,28,2676,40960,59.71
36.561,batched_medium,2026/07/08 01:54:42.504,28,2676,40960,59.44
37.09,batched_medium,2026/07/08 01:54:43.035,27,2676,40960,59.44
37.62,batched_medium,2026/07/08 01:54:43.564,28,2676,40960,59.71
38.149,batched_medium,2026/07/08 01:54:44.094,28,2676,40960,59.44
38.678,batched_medium,2026/07/08 01:54:44.623,28,2676,40960,59.51
39.207,batched_medium,2026/07/08 01:54:45.152,28,2676,40960,59.44
39.738,batched_medium,2026/07/08 01:54:45.681,27,2676,40960,59.17
40.267,batched_medium,2026/07/08 01:54:46.212,28,2676,40960,59.78
40.797,batched_medium,2026/07/08 01:54:46.741,28,2676,40960,56.84
41.327,batched_medium,2026/07/08 01:54:47.271,28,2676,40960,59.78
41.855,batched_medium,2026/07/08 01:54:47.800,28,2676,40960,58.78
42.384,batched_medium,2026/07/08 01:54:48.329,29,2676,40960,60.10
42.915,batched_medium,2026/07/08 01:54:48.858,26,2676,40960,58.90
43.445,batched_medium,2026/07/08 01:54:49.390,27,2676,40960,59.44
43.974,batched_medium,2026/07/08 01:54:49.919,28,2676,40960,58.90
44.504,batched_medium,2026/07/08 01:54:50.448,28,2676,40960,61.18
